Склад№3@АРТ-56-2@0@605,95242656256@605,95242656256@
Склад№3@Кран наддува 4602@8@0,7999344244992@0,7999344244992@
Склад№3@Кран наддува 4602@9@0,161800253568@0,161800253568@
Склад№3@Кран наддува 4602@10@0,0286181799936@0,0286181799936@
Склад№3@Кран наддува 4602@11@0,0044082413568@0,0044082413568@
Склад№3@Кран наддува 4602@12@0,000588584064@0,000588584064@
Склад№3@Кран наддува 4602@13@6,6732096E-5@6,6732096E-5@
Склад№3@Кран наддува 4602@14@6,1611648E-6@6,1611648E-6@
Склад№3@Кран наддува 4602@15@4,33344E-7@4,33344E-7@
Склад№3@Кран наддува 4602@16@1,7664E-8@1,7664E-8@
Склад№3@Первичный ВВР 4487Т@0@141,078168895488@141,078168895488@
Склад№3@Первичный ВВР 4487Т@1@315,708459199795@315,708459199795@
Склад№3@Первичный ВВР 4487Т@2@338,267211792614@338,267211792614@
Склад№3@Первичный ВВР 4487Т@3@231,465169854374@231,465169854374@
Склад№3@Первичный ВВР 4487Т@4@113,686832158042@113,686832158042@
Склад№3@Первичный ВВР 4487Т@5@42,8098695856128@42,8098695856128@
Склад№3@Первичный ВВР 4487Т@6@12,923806946496@12,923806946496@
Склад№3@Первичный ВВР 4487Т@7@3,2315639373312@3,2315639373312@
Склад№3@Первичный ВВР 4487Т@8@0,68375823552@0,68375823552@
Склад№3@Первичный ВВР 4487Т@9@0,1235057543424@0,1235057543424@
Склад№3@Первичный ВВР 4487Т@10@0,0189570406656@0,0189570406656@
Склад№3@Первичный ВВР 4487Т@11@0,0024268023168@0,0024268023168@
Склад№3@Первичный ВВР 4487Т@12@0,0002494852224@0,0002494852224@
Склад№3@Первичный ВВР 4487Т@13@1,92781056E-5@1,92781056E-5@
Склад№3@Первичный ВВР 4487Т@14@1,003584E-6@1,003584E-6@
Склад№3@Первичный ВВР 4487Т@15@3,01056E-8@3,01056E-8@
Склад№3@Первичный ВВР 4487Т@16@3,84E-10@3,84E-10@
Склад№3@Распределитель@0@267,4547048448@267,4547048448@
Склад№3@Распределитель@1@469,6083585024@469,6083585024@
Склад№3@Распределитель@2@327,9971303424@327,9971303424@
Склад№3@Распределитель@3@113,9138095104@113,9138095104@
Склад№3@Распределитель@4@19,6740317184@19,6740317184@
Склад№3@Распределитель@5@1,3519650816@1,3519650816@
Склад№3@Система охлаждения ВСУ@0@329,418356047411@329,418356047411@
Склад№3@Система охлаждения ВСУ@1@432,039159650918@432,039159650918@
Склад№3@Система охлаждения ВСУ@2@276,972135281971@276,972135281971@
Склад№3@Система охлаждения ВСУ@3@115,856206003661@115,856206003661@
Склад№3@Система охлаждения ВСУ@4@35,4666273693696@35,4666273693696@
Склад№3@Система охлаждения ВСУ@5@8,4029134307328@8,4029134307328@
Склад№3@Система охлаждения ВСУ@6@1,5784768978944@1,5784768978944@
Склад№3@Система охлаждения ВСУ@7@0,2358127807488@0,2358127807488@
Склад№3@Система охлаждения ВСУ@8@0,0276644838912@0,0276644838912@
Склад№3@Система охлаждения ВСУ@9@0,0024793626624@0,0024793626624@
Склад№3@Система охлаждения ВСУ@10@0,00016159488@0,00016159488@
Склад№3@Система охлаждения ВСУ@11@6,9437952E-6@6,9437952E-6@
Склад№3@Система охлаждения ВСУ@12@1,52064E-7@1,52064E-7@
Склад№3@Турбохолодильник@0@116,133288872832@116,133288872832@
Склад№3@Турбохолодильник@1@323,653323346445@323,653323346445@
Склад№3@Турбохолодильник@2@382,421482195162@382,421482195162@
Склад№3@Турбохолодильник@3@249,942294767194@249,942294767194@
Склад№3@Турбохолодильник@4@99,0248499194496@99,0248499194496@
Склад№3@Турбохолодильник@5@24,5880741683328@24,5880741683328@
Склад№3@Турбохолодильник@6@3,8425269931392@3,8425269931392@
Склад№3@Турбохолодильник@7@0,3720655330944@0,3720655330944@
Склад№3@Турбохолодильник@8@0,0214196417664@0,0214196417664@
Склад№3@Турбохолодильник@9@0,0006660082944@0,0006660082944@
Склад№3@Турбохолодильник@10@8,5542912E-6@8,5542912E-6@
