Склад№3@АРТ-56-2@0@618,974002543104@618,974002543104@
Склад№3@Система охлаждения ВСУ@2@260,665019413939@260,665019413939@
Склад№3@Система охлаждения ВСУ@3@101,552814466714@101,552814466714@
Склад№3@Система охлаждения ВСУ@4@30,2876678254848@30,2876678254848@
Склад№3@Система охлаждения ВСУ@5@7,5645514293504@7,5645514293504@
Склад№3@Система охлаждения ВСУ@6@1,6546191744@1,6546191744@
Склад№3@Система охлаждения ВСУ@7@0,3217371062784@0,3217371062784@
Склад№3@Система охлаждения ВСУ@8@0,0551768838144@0,0551768838144@
Склад№3@Система охлаждения ВСУ@9@0,0082354196736@0,0082354196736@
Склад№3@Система охлаждения ВСУ@10@0,0010518164736@0,0010518164736@
Склад№3@Система охлаждения ВСУ@11@0,00011254656@0,00011254656@
Склад№3@Система охлаждения ВСУ@12@9,7799424E-6@9,7799424E-6@
Склад№3@Система охлаждения ВСУ@13@6,5472E-7@6,5472E-7@
Склад№3@Система охлаждения ВСУ@14@3,08736E-8@3,08736E-8@
Склад№3@Система охлаждения ВСУ@15@7,68E-10@7,68E-10@
Склад№3@Турбохолодильник@0@120,39995011968@120,39995011968@
Склад№3@Турбохолодильник@1@320,4293349312@320,4293349312@
Склад№3@Турбохолодильник@2@370,953481305715@370,953481305715@
Склад№3@Турбохолодильник@3@246,350013576307@246,350013576307@
Склад№3@Турбохолодильник@4@104,598827243827@104,598827243827@
Склад№3@Турбохолодильник@5@30,1238670676224@30,1238670676224@
Склад№3@Турбохолодильник@6@6,1291004176896@6,1291004176896@
Склад№3@Турбохолодильник@7@0,9078374595072@0,9078374595072@
Склад№3@Турбохолодильник@8@0,0992143427328@0,0992143427328@
Склад№3@Турбохолодильник@9@0,0079139858688@0,0079139858688@
Склад№3@Турбохолодильник@10@0,0004432592256@0,0004432592256@
Склад№3@Турбохолодильник@11@1,60020864E-5@1,60020864E-5@
Склад№3@Турбохолодильник@12@2,885376E-7@2,885376E-7@
